Time,Actual,Expected,Occupancy,State,Recommendation
2026-09-01 08:00:00,0.12,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-01 09:00:00,0.311,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 10:00:00,0.313,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 11:00:00,0.272,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 12:00:00,0.26,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 13:00:00,0.228,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 14:00:00,0.214,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 15:00:00,0.241,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 16:00:00,0.228,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 17:00:00,0.265,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 18:00:00,0.076,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-01 19:00:00,1.15,0.1,0,POTENTIALLY ACTIONABLE,Check equipment during unoccupied/off-schedule period.
2026-09-01 20:00:00,0.108,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-01 21:00:00,0.108,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-01 22:00:00,0.095,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-01 23:00:00,0.071,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-02 00:00:00,0.114,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-02 01:00:00,0.085,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-02 02:00:00,0.141,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-02 03:00:00,0.088,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-02 04:00:00,0.081,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-02 05:00:00,0.052,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-02 06:00:00,0.097,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-02 07:00:00,0.074,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-01 08:00:00,0.099,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-01 09:00:00,0.283,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 10:00:00,0.254,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 11:00:00,0.264,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 12:00:00,0.218,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 13:00:00,0.263,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 14:00:00,0.254,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 15:00:00,0.237,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 16:00:00,0.262,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 17:00:00,0.241,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 18:00:00,0.086,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-01 19:00:00,0.116,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-01 20:00:00,0.11,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-01 21:00:00,0.099,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-01 22:00:00,0.092,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-01 23:00:00,0.053,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-02 00:00:00,0.132,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-02 01:00:00,0.05,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-02 02:00:00,0.06,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-02 03:00:00,0.08,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-02 04:00:00,0.058,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-02 05:00:00,0.162,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-02 06:00:00,0.133,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-02 07:00:00,0.152,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-01 08:00:00,0.11,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-01 09:00:00,0.197,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 10:00:00,0.26,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 11:00:00,0.259,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 12:00:00,0.325,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 13:00:00,0.276,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 14:00:00,0.296,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 15:00:00,0.267,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 16:00:00,0.24,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 17:00:00,0.217,0.25,1,NORMAL,No immediate action; continue monitoring.
2026-09-01 18:00:00,0.111,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-01 19:00:00,0.158,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-01 20:00:00,0.125,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-01 21:00:00,0.119,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-01 22:00:00,0.119,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-01 23:00:00,0.05,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-02 00:00:00,0.109,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-02 01:00:00,0.115,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-02 02:00:00,0.102,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-02 03:00:00,0.122,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-02 04:00:00,0.05,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-02 05:00:00,0.121,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-02 06:00:00,0.123,0.1,0,NORMAL,No immediate action; continue monitoring.
2026-09-02 07:00:00,0.126,0.1,0,NORMAL,No immediate action; continue monitoring.
