Room_ID,Timestamp,Power_kW,Energy_kWh,Expected_Power_kW,Occupancy,Scheduled,Equipment_Status,Temperature_C,Humidity_%,Data_Quality,Residual_kW,Anomaly,Context_Mismatch,Persistent,Actionability_Score
R101,00:00,0.25,0.25,0.25,0,0,OFF,25.0,65,Good,0.0,False,True,False,0.4
R101,01:00,0.22,0.22,0.25,0,0,OFF,24.8,66,Good,-0.03,False,True,False,0.4
R101,02:00,0.2,0.2,0.25,0,0,OFF,24.6,66,Good,-0.04999999999999999,False,True,False,0.4
R101,03:00,0.2,0.2,0.25,0,0,OFF,24.5,67,Good,-0.04999999999999999,False,True,False,0.4
R101,04:00,0.21,0.21,0.25,0,0,OFF,24.4,67,Good,-0.04000000000000001,False,True,False,0.4
R101,05:00,0.28,0.28,0.28,2,0,ON,24.6,66,Good,0.0,False,False,False,0.1
R101,06:00,0.55,0.55,0.85,12,1,ON,25.0,64,Good,-0.29999999999999993,False,False,False,0.1
R101,07:00,0.8,0.8,0.85,30,1,ON,25.5,62,Good,-0.04999999999999993,False,False,False,0.1
R101,08:00,1.0,1.0,0.85,40,1,ON,26.0,60,Good,0.15000000000000002,False,False,False,0.1
R101,09:00,1.1,1.1,0.85,45,1,ON,25.8,59,Good,0.2500000000000001,False,False,False,0.1
R101,10:00,1.05,1.05,0.85,42,1,ON,25.5,58,Good,0.20000000000000007,False,False,False,0.1
R101,11:00,0.95,0.95,0.85,40,1,ON,25.2,57,Good,0.09999999999999998,False,False,False,0.1
R101,12:00,1.0,1.0,0.85,43,1,ON,25.0,57,Good,0.15000000000000002,False,False,False,0.1
R101,13:00,0.98,0.98,0.85,41,1,ON,24.8,58,Good,0.13,False,False,False,0.1
R101,14:00,0.95,0.95,0.85,38,1,ON,24.7,58,Good,0.09999999999999998,False,False,False,0.1
R101,15:00,0.92,0.92,0.85,35,1,ON,24.9,59,Good,0.07000000000000006,False,False,False,0.1
R101,16:00,0.9,0.9,0.85,30,1,ON,25.2,60,Good,0.050000000000000044,False,False,False,0.1
R101,17:00,0.82,0.82,0.82,10,1,ON,25.5,62,Good,0.0,False,False,False,0.1
R101,18:00,0.65,0.65,0.25,0,0,OFF,25.8,63,Good,0.4,True,True,True,0.9999999999999999
R101,19:00,1.15,1.15,0.25,0,0,ON,25.5,64,Good,0.8999999999999999,True,True,True,0.9999999999999999
R101,20:00,0.35,0.35,0.25,0,0,OFF,25.2,65,Good,0.09999999999999998,False,True,True,0.6
R101,21:00,0.3,0.3,0.25,0,0,OFF,25.0,65,Good,0.04999999999999999,False,True,False,0.4
R101,22:00,0.28,0.28,0.25,0,0,OFF,24.8,66,Good,0.030000000000000027,False,True,False,0.4
R101,23:00,0.26,0.26,0.25,0,0,OFF,24.6,66,Good,0.010000000000000009,False,True,False,0.4
